# National Oceanic and Atmospheric Administration Climate Prediction Center. 
# Oceanic Niño Index v5 (ONI). Accessed Apr 10, 2025. 
# https://www.cpc.ncep.noaa.gov/products/analysis_monitoring/ensostuff/ONI_v5.php

year,month,ONI
2009,1,-0.8
2009,2,-0.8
2009,3,-0.6
2009,4,-0.3
2009,5,0
2009,6,0.3
2009,7,0.5
2009,8,0.6
2009,9,0.7
2009,10,1
2009,11,1.4
2009,12,1.6
2010,1,1.5
2010,2,1.2
2010,3,0.8
2010,4,0.4
2010,5,-0.2
2010,6,-0.7
2010,7,-1
2010,8,-1.4
2010,9,-1.6
2010,10,-1.7
2010,11,-1.7
2010,12,-1.6
2011,1,-1.4
2011,2,-1.1
2011,3,-0.8
2011,4,-0.6
2011,5,-0.5
2011,6,-0.4
2011,7,-0.5
2011,8,-0.7
2011,9,-0.9
2011,10,-1.1
2011,11,-1.1
2011,12,-1
2012,1,-0.8
2012,2,-0.6
2012,3,-0.5
2012,4,-0.4
2012,5,-0.2
2012,6,0.1
2012,7,0.3
2012,8,0.3
2012,9,0.3
2012,10,0.2
2012,11,0
2012,12,-0.2
2013,1,-0.4
2013,2,-0.3
2013,3,-0.2
2013,4,-0.2
2013,5,-0.3
2013,6,-0.3
2013,7,-0.4
2013,8,-0.4
2013,9,-0.3
2013,10,-0.2
2013,11,-0.2
2013,12,-0.3
2014,1,-0.4
2014,2,-0.4
2014,3,-0.2
2014,4,0.1
2014,5,0.3
2014,6,0.2
2014,7,0.1
2014,8,0
2014,9,0.2
2014,10,0.4
2014,11,0.6
2014,12,0.7
2015,1,0.6
2015,2,0.6
2015,3,0.6
2015,4,0.8
2015,5,1
2015,6,1.2
2015,7,1.5
2015,8,1.9
2015,9,2.2
2015,10,2.4
2015,11,2.6
2015,12,2.6
2016,1,2.5
2016,2,2.1
2016,3,1.6
2016,4,0.9
2016,5,0.4
2016,6,-0.1
2016,7,-0.4
2016,8,-0.5
2016,9,-0.6
2016,10,-0.7
2016,11,-0.7
2016,12,-0.6
2017,1,-0.3
2017,2,-0.2
2017,3,0.1
2017,4,0.2
2017,5,0.3
2017,6,0.3
2017,7,0.1
2017,8,-0.1
2017,9,-0.4
2017,10,-0.7
2017,11,-0.8
2017,12,-1
2018,1,-0.9
2018,2,-0.9
2018,3,-0.7
2018,4,-0.5
2018,5,-0.2
2018,6,0
2018,7,0.1
2018,8,0.2
2018,9,0.5
2018,10,0.8
2018,11,0.9
2018,12,0.8
2019,1,0.8
2019,2,0.7
2019,3,0.7
2019,4,0.7
2019,5,0.5
2019,6,0.5
2019,7,0.3
2019,8,0.1
2019,9,0.2
2019,10,0.4
2019,11,0.5
2019,12,0.6
2020,1,0.5
2020,2,0.5
2020,3,0.4
2020,4,0.2
2020,5,-0.1
2020,6,-0.3
2020,7,-0.4
2020,8,-0.6
2020,9,-0.9
2020,10,-1.2
2020,11,-1.3
2020,12,-1.2
2021,1,-1.1
2021,2,-0.9
2021,3,-0.8
2021,4,-0.7
2021,5,-0.5
2021,6,-0.4
2021,7,-0.4
2021,8,-0.5
2021,9,-0.7
2021,10,-0.8
2021,11,-1
2021,12,-1
2022,1,-1
2022,2,-0.9
2022,3,-1
2022,4,-1.1
2022,5,-1
2022,6,-0.9
2022,7,-0.8
2022,8,-0.9
2022,9,-1
2022,10,-1
2022,11,-0.9
2022,12,-0.8
2023,1,-0.7
2023,2,-0.4
2023,3,-0.2
2023,4,0.1
2023,5,0.5
2023,6,0.8
2023,7,1.1
2023,8,1.3
2023,9,1.6
2023,10,1.8
2023,11,1.9
2023,12,2
2024,1,1.8
2024,2,1.5
2024,3,1.1
2024,4,0.7
2024,5,0.4
2024,6,0.2
2024,7,0
2024,8,-0.1
2024,9,-0.2
2024,10,-0.3
2024,11,-0.4
2024,12,-0.5
